City,Year,Month,Day,Latitude,Longitude,Temperature_K,Precipitation_kgm2,Wind_speed_ms,Wind_dir_deg,Humidity_kgkg-1,Cloud_top_temp_K
Kabul,2024,1,1,34.5553,69.2075,273.6069030761719,0.0,1.8937017917633057,0.6825618743896484,0.0009163449867628515,nan
Tirana,2024,1,1,41.3275,19.8189,277.8959655761719,0.18359375,1.8827497959136963,118.10526275634766,0.005737645551562309,262.7137451171875
Algiers,2024,1,1,36.7538,3.0588,288.2631530761719,1.5832483768463135e-08,3.30853533744812,36.083011627197266,0.008335454389452934,215.4168701171875
Andorra la Vella,2024,1,1,42.5075,1.5218,271.2035827636719,0.0353546142578125,1.2794866561889648,279.9722595214844,0.0033591818064451218,211.1903076171875
Luanda,2024,1,1,-8.839,13.2894,299.5990905761719,0.0006055831909179688,3.1776041984558105,76.85443878173828,0.017589909955859184,237.0633544921875
Saint John's,2024,1,1,17.1173,-61.8456,300.1850280761719,0.035003662109375,6.3295159339904785,227.35354614257812,0.016872746869921684,288.1590576171875
Buenos Aires,2024,1,1,-34.6037,-58.3816,297.2162780761719,0.065521240234375,8.667379379272461,158.6265106201172,0.01148257963359356,228.4559326171875
Yerevan,2024,1,1,40.1792,44.4991,273.5346374511719,8.612871170043945e-06,1.7040596008300781,322.96881103515625,0.0024436544626951218,242.8551025390625
Canberra,2024,1,1,-35.2809,149.13,294.8725280761719,0.0364227294921875,2.131829023361206,240.8979034423828,0.01058231107890606,281.0028076171875
Vienna,2024,1,1,48.2092,16.3728,275.2651062011719,0.125244140625,3.1449129581451416,334.63818359375,0.004473073408007622,216.7137451171875
Baku,2024,1,1,40.4093,49.8671,281.7201843261719,0.00018721818923950195,7.430845260620117,289.6199951171875,0.005968434736132622,240.0858154296875
Nassau,2024,1,1,25.0343,-77.3963,294.6459655761719,3.65525484085083e-05,3.589210271835327,273.7696533203125,0.00977359525859356,nan
Manama,2024,1,1,26.2285,50.586,294.4662780761719,0.0370025634765625,3.6433908939361572,273.6173400878906,0.012241704389452934,268.1121826171875
Dhaka,2024,1,1,23.8103,90.4125,285.8178405761719,4.190951585769653e-06,2.6159002780914307,297.80511474609375,0.00946079008281231,nan
Bridgetown,2024,1,1,13.0975,-59.6167,300.9662780761719,0.014659881591796875,5.143777847290039,216.00538635253906,0.017864568158984184,290.5653076171875
Minsk,2024,1,1,53.9006,27.559,269.4560241699219,0.02123260498046875,2.946742296218872,176.24525451660156,0.0025771688669919968,214.1512451171875
Brussels,2024,1,1,50.8503,4.3517,280.7279968261719,0.2158203125,11.719780921936035,49.99449157714844,0.005874974653124809,221.7606201171875
Belmopan,2024,1,1,17.2514,-88.759,293.8881530761719,0.087493896484375,1.3086570501327515,239.90347290039062,0.014805180951952934,280.9246826171875
Porto-Novo,2024,1,1,6.4969,2.6289,298.3647155761719,0.0026063919067382812,3.176344156265259,69.65156555175781,0.019192082807421684,210.5340576171875
Thimphu,2024,1,1,27.4728,89.639,269.1337585449219,0.0019335746765136719,0.6986755728721619,269.36285400390625,0.0037063192576169968,266.4324951171875
